,state,parks,pitches,sports_centres,schools
0,Alabama,1926,7552,335,4389
1,Alaska,545,994,57,619
2,Arizona,7068,15538,420,7424
3,Arkansas,1423,4649,174,2637
4,California,9234,31522,1207,31759
5,Colorado,4528,11913,724,4474
6,Connecticut,1795,6427,189,2425
7,Delaware,506,1884,78,409
8,Florida,7871,31251,1078,12788
9,Georgia,3591,16874,501,6057
10,Hawaii,650,2094,122,2017
11,Idaho,1735,3498,226,1725
12,Illinois,8713,23998,1138,10171
13,Indiana,3283,14018,522,4103
14,Iowa,3380,8985,517,3102
15,Kansas,1934,6706,354,3755
16,Kentucky,1176,4926,225,2808
17,Louisiana,1276,3916,148,3079
18,Maine,1414,3526,172,1823
19,Maryland,2644,10125,351,3637
20,Massachusetts,4043,13659,403,5299
21,Michigan,7166,22184,620,9044
22,Minnesota,5304,16029,361,2900
23,Mississippi,803,3433,99,2184
24,Missouri,2980,9423,386,6386
25,Montana,1733,2132,118,1265
26,Nebraska,2123,4509,196,3477
27,Nevada,1518,3681,162,1669
28,New Hampshire,652,3427,217,1243
29,New Jersey,3249,16622,565,5867
30,New Mexico,881,2174,160,1628
31,New York,8183,29519,1011,10309
32,North Carolina,3691,14808,787,6650
33,North Dakota,848,2518,65,601
34,Ohio,6516,28276,928,7871
35,Oklahoma,2219,5590,212,2886
36,Oregon,3368,9364,818,3313
37,Pennsylvania,6701,25093,942,8899
38,Rhode Island,453,1861,57,934
39,South Carolina,1896,8785,441,4230
40,South Dakota,870,2199,113,1082
41,Tennessee,2285,7582,284,4935
42,Texas,9871,31390,1432,17531
43,Utah,3142,6873,277,2495
44,Vermont,494,1917,163,1318
45,Virginia,2524,11381,656,3695
46,Washington,6470,13300,575,6478
47,West Virginia,891,2352,123,1564
48,Wisconsin,8063,13762,560,5405
49,Wyoming,696,1506,71,884
